amazon_sku,channel_id, linnworks_code,price_uk, sale_price_uk,,,,,,,,
DUVMFBKID4.5A_FBA,1,DUVMFBKID4.5,34.99,27.99,,,,,,,,
DUVPILMFB10.5KID,1,DUVPILMFB10.5KID,59.99,34.99,,,,,,,,
DUVPILMFB10.5KID,2,DUVPILMFB10.5KID,,,,,,,,,,
DUVPILMFB10.5KID,3,DUVPILMFB10.5KID,,,,,,,,,,
DUVPILMFB10.5KID_FBA,1,DUVPILMFB10.5KID,59.99,39.99,,,,,,,,
DUVPILMFB4.5KID,1,DUVPILMFB4.5KID,54.99,29.99,,,,,,,,
DUVPILMFB4.5KID,2,DUVPILMFB4.5KID,,,,,,,,,,
DUVPILMFB4.5KID,3,DUVPILMFB4.5KID,,,,,,,,,,
DUVPILMFB4.5KID_FBA,1,DUVPILMFB4.5KID,54.99,34.99,,,,,,,,
FBAKY08D6_unexpected_item_02,1,FEDU13.5SING,44.99,32.99,,,,,,,,
FBAKY08D6_unexpected_item_04,1,FEDU13.5DOUB,54.99,42.99,,,,,,,,
FEDU10.5D,1,FEDU10.5D,49.99,37.99,,,,,,,,
FEDU10.5D,2,FEDU10.5D,,,,,,,,,,
FEDU10.5D,3,FEDU10.5D,,,,,,,,,,
FEDU10.5D.1,1,FEDU10.5D,49.99,37.99,,,,,,,,
FEDU10.5D_FBA,1,FEDU10.5D,49.99,39.99,,,,,,,,
FEDU10.5K,1,FEDU10.5K,59.99,47.99,,,,,,,,
FEDU10.5K,2,FEDU10.5K,,,,,,,,,,
FEDU10.5K,3,FEDU10.5K,,,,,,,,,,
FEDU10.5K.1,1,FEDU10.5K,59.99,47.99,,,,,,,,
FEDU10.5K_FBA,1,FEDU10.5K,59.99,49.99,,,,,,,,
FEDU10.5S.1,1,FEDU10.5SA,39.99,27.99,,,,,,,,
FEDU10.5SA_FBA,1,FEDU10.5SA,39.99,29.99,,,,,,,,
FEDU10.5SK,1,FEDU10.5SK,69.99,57.99,,,,,,,,
FEDU10.5SK,3,FEDU10.5SK,,,,,,,,,,
FEDU10.5SK.1,1,FEDU10.5SK,69.99,57.99,,,,,,,,
FEDU10.5SKV,1,FEDU10.5SK,69.99,57.99,,,,,,,,
FEDU10.5SK_FBA,1,FEDU10.5SK,69.99,59.99,,,,,,,,
FEDU10.5SV,1,FEDU10.5SA,39.99,27.99,,,,,,,,
FEDU13.5DOUB,1,FEDU13.5DOUB,54.99,42.99,,,,,,,,
FEDU13.5DOUB,2,FEDU13.5DOUB,,,,,,,,,,
FEDU13.5DOUB,3,FEDU13.5DOUB,,,,,,,,,,
FEDU13.5KING_FBA,1,FEDU13.5KING,64.99,49.99,,,,,,,,
FEDU13.5SING,2,FEDU13.5SING,,,,,,,,,,
FEDU13.5SING,3,FEDU13.5SING,,,,,,,,,,
FEDU13.5SINGV,1,FEDU13.5SING,44.99,32.99,,,,,,,,
FEDU13.5SINGV_FBA,1,FEDU13.5SING,44.99,34.99,,,,,,,,
FEDU13.5SKVV,1,FEDUC10.5SK,74.99,61.99,,,,,,,,
FEDU15D,1,FEDU15D,69.99,55.99,,,,,,,,
FEDU15D,2,FEDU15D,,,,,,,,,,
FEDU15D,3,FEDU15D,,,,,,,,,,
FEDU15D_FBA,1,FEDU15D,69.99,59.99,,,,,,,,
FEDU15K,1,FEDU15K,79.99,65.99,,,,,,,,
FEDU15K,2,FEDU15K,,,,,,,,,,
FEDU15K,3,FEDU15K,,,,,,,,,,
FEDU15K_FBA,1,FEDU15K,79.99,69.99,,,,,,,,
FEDU15S,1,FEDU15S,54.99,44.99,,,,,,,,
FEDU15S,2,FEDU15S,,,,,,,,,,
FEDU15S,3,FEDU15S,,,,,,,,,,
FEDU15SK,1,FEDU15SK,94.99,75.99,,,,,,,,
FEDU15SK,2,FEDU15SK,,,,,,,,,,
FEDU15SK,3,FEDU15SK,,,,,,,,,,
FEDU15SK_FBA,1,FEDU15SK,94.99,79.99,,,,,,,,
FEDU15S_FBA,1,FEDU15S,54.99,49.99,,,,,,,,
FEDUALL9/4.5DV,1,FEDUALL9/4.5D,89.99,64.99,,,,,,,,
FEDUALL9/4.5D_FBA,1,FEDUALL9/4.5D,89.99,69.99,,,,,,,,
FEDUALL9/4.5K,1,FEDUALL9/4.5K,99.99,79.99,,,,,,,,
FEDUALL9/4.5K,2,FEDUALL9/4.5K,,,,,,,,,,
FEDUALL9/4.5K,3,FEDUALL9/4.5K,,,,,,,,,,
FEDUALL9/4.5K_FBA,1,FEDUALL9/4.5K,99.99,84.99,,,,,,,,
FEDUC10.5SK,1,FEDUC10.5SK,74.99,61.99,,,,,,,,
FEDUC10.5SK,2,FEDUC10.5SK,,,,,,,,,,
FEDUC10.5SK,3,FEDUC10.5SK,,,,,,,,,,
FEDUC10.5SKFBA,1,FEDUC10.5SK,74.99,64.99,,,,,,,,
GFDUVALLSEA-D,1,GFDUVALLSEA-D,99.99,69.99,,,,,,,,
GFDUVALLSEA-D,2,GFDUVALLSEA-D,,,,,,,,,,
GFDUVALLSEA-D,3,GFDUVALLSEA-D,,,,,,,,,,
GFDUVALLSEA-D_FBA,1,GFDUVALLSEA-D,99.99,74.99,,,,,,,,
GFDUVALLSEA-S,1,GFDUVALLSEA-S,79.99,54.99,,,,,,,,
GFDUVALLSEA-S,2,GFDUVALLSEA-S,,,,,,,,,,
GFDUVALLSEA-S,3,GFDUVALLSEA-S,,,,,,,,,,
GFDUVALLSEA-SK,1,GFDUVALLSEA-SK,119.99,94.99,,,,,,,,
GFDUVALLSEA-SK,2,GFDUVALLSEA-SK,,,,,,,,,,
GFDUVALLSEA-SK,3,GFDUVALLSEA-SK,,,,,,,,,,
GFDUVALLSEA-SK_FBA,1,GFDUVALLSEA-SK,119.99,99.99,,,,,,,,
GFDUVALLSEA-S_FBA,1,GFDUVALLSEA-S,79.99,59.99,,,,,,,,
H-HFDUVET15K,1,HFDUVET15K,26.99,18.99,,,,,,,,
H-HFDUVET15K_FBA,1,HFDUVET15K,26.99,22.99,,,,,,,,
HFDU13.5K,1,HFDU13.5K,23.99,16.99,,,,,,,,
HFDU13.5K,2,HFDU13.5K,,,,,,,,,,
HFDU13.5K,3,HFDU13.5K,,,,,,,,,,
HFDU13.5K_FBA,1,HFDU13.5K,23.99,20.99,,,,,,,,
HFDU13.5SK,1,HFDU13.5SK,27.99,19.99,,,,,,,,
HFDU13.5SK,2,HFDU13.5SK,,,,,,,,,,
HFDU13.5SK,3,HFDU13.5SK,,,,,,,,,,
HFDU13.5SK_FBA,1,HFDU13.5SK,27.99,24.99,,,,,,,,
